,Symbol,name,Price,Change,Time
0,BTC,Bitcoin,"$48,300.49",-13.84%,2021-12-04 16:47
1,ETH,Ethereum,"$4,040.89",-10.20%,2021-12-04 16:47
2,BNB,BNB,$562.90,-7.81%,2021-12-04 16:47
3,USDT,TetherUS,$1.00,+0.01%,2021-12-04 16:47
4,SOL,Solana,$205.17,-9.45%,2021-12-04 16:47
5,ADA,Cardano,$1.41,-13.64%,2021-12-04 16:47
6,USDC,USD Coin,$0.99,-0.08%,2021-12-04 16:47
7,XRP,Ripple,$0.79,-17.65%,2021-12-04 16:47
8,DOT,Polkadot,$29.02,-18.21%,2021-12-04 16:47
9,LUNA,Terra,$61.48,-11.50%,2021-12-04 16:47
10,DOGE,Dogecoin,$0.17,-15.00%,2021-12-04 16:47
11,AVAX,Avalanche,$94.41,-12.60%,2021-12-04 16:47
12,SHIB,SHIBA INU,$0.00,-9.53%,2021-12-04 16:47
13,MATIC,Polygon,$1.97,-15.20%,2021-12-04 16:47
14,BUSD,BUSD,$0.99,-0.08%,2021-12-04 16:47
15,WBTC,Wrapped Bitcoin,"$48,343.96",+0.04%,2021-12-04 16:47
16,LTC,Litecoin,$159.80,-20.26%,2021-12-04 16:47
17,UNI,Uniswap,$17.26,-19.42%,2021-12-04 16:47
18,ALGO,Algorand,$1.64,-12.02%,2021-12-04 16:47
19,LINK,ChainLink,$20.20,-19.81%,2021-12-04 16:47
